VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,extra,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
1,2023-06-28 17:20:21,2023-06-28 16:34:45,1.0,2.14,1.0,N,120,9,Credit Card,2.5,7.165588608107633,0.0,1.0,20.64,2.5,0.0
0,2023-06-29 23:05:01,2023-06-29 22:01:35,1.0,2.7,1.0,N,15,215,Credit Card,3.5,6.067400799595124,0.0,1.0,25.55,2.5,0.0
1,2023-06-30 10:19:31,2023-06-30 11:13:10,1.0,1.15,1.0,N,167,223,Credit Card,0.0,4.11154749472501,0.0,1.0,17.64,2.5,0.0
0,2023-06-29 13:23:09,2023-06-29 14:20:01,1.0,0.4,1.0,N,128,239,Credit Card,2.5,6.411079387385968,0.0,1.0,12.8,2.5,0.0
1,2023-06-29 22:03:32,2023-06-29 22:22:22,3.0,1.1,1.0,N,203,52,Credit Card,1.0,4.769377276607731,0.0,1.0,18.0,2.5,0.0
0,2023-06-29 16:31:14,2023-06-29 16:29:06,1.0,0.0,99.0,N,225,256,Credit Card,0.0,1.5078306963458514,0.0,1.0,44.7,0.0,0.0
1,2023-06-30 12:54:57,2023-06-30 11:52:20,1.0,1.33,1.0,N,214,240,Cash,0.0,0.09433437153389568,0.0,1.0,18.2,2.5,0.0
1,2023-06-30 17:16:44,2023-06-30 17:40:34,1.0,0.45,1.0,N,176,227,Cash,2.5,0.72710468627601,0.0,1.0,13.7,2.5,0.0
0,2023-06-30 21:52:44,2023-06-30 21:54:13,3.0,3.8,1.0,N,196,139,Credit Card,3.5,6.590744785189418,0.0,1.0,35.6,2.5,0.0
1,2023-06-29 11:12:12,2023-06-29 09:39:24,1.0,2.5,1.0,N,138,196,Credit Card,0.0,6.091603163111369,0.0,1.0,23.1,2.5,0.0
0,2023-06-29 08:48:20,2023-06-29 09:46:15,0.0,8.9,1.0,N,40,153,Credit Card,9.25,14.743844007997735,6.55,1.0,74.4,2.5,1.75
0,2023-06-30 11:52:56,2023-06-30 12:24:52,0.0,8.2,1.0,N,215,125,Credit Card,7.5,10.48797873671282,0.0,1.0,62.25,2.5,0.0
0,2023-06-30 15:15:25,2023-06-30 14:06:52,1.0,0.8,1.0,N,55,64,Cash,2.5,3.3976494341178087,0.0,1.0,10.5,2.5,0.0
0,2023-06-30 20:10:04,2023-06-30 20:10:18,1.0,1.7,1.0,N,77,27,Cash,5.0,0.34520766737291264,0.0,1.0,23.5,2.5,0.0
1,2023-06-28 23:02:20,2023-06-29 00:32:53,1.0,2.62,1.0,N,1,181,Credit Card,1.0,10.201543276467365,0.0,1.0,26.63,2.5,0.0
0,2023-06-30 21:35:22,2023-06-30 22:01:36,1.0,3.2,1.0,N,3,53,Credit Card,3.5,5.701664375788878,0.0,1.0,27.1,2.5,0.0
0,2023-06-29 10:10:10,2023-06-29 10:42:46,1.0,1.8,1.0,N,207,40,Credit Card,2.5,6.000894892695292,0.0,1.0,22.65,2.5,0.0
1,2023-06-29 20:20:33,2023-06-29 20:48:01,1.0,1.51,1.0,N,9,111,Credit Card,2.5,5.7179515797445815,0.0,1.0,23.4,2.5,0.0
1,2023-06-29 22:26:58,2023-06-29 23:52:00,1.0,4.19,1.0,N,127,37,Credit Card,1.0,2.8361338564379635,0.0,1.0,25.8,2.5,0.0
1,2023-06-29 21:27:15,2023-06-29 23:15:29,1.0,6.63,1.0,N,31,257,Cash,1.0,1.8305904001879125,0.0,1.0,40.9,2.5,0.0
1,2023-06-28 20:25:30,2023-06-28 20:05:18,1.0,6.61,1.0,N,126,151,Credit Card,2.5,10.112688708370452,0.0,1.0,44.25,2.5,0.0
0,2023-06-29 20:22:38,2023-06-29 20:53:25,1.0,3.3,1.0,N,187,225,Credit Card,3.5,8.143181152364493,0.0,1.0,28.9,2.5,0.0
1,2023-06-29 12:53:08,2023-06-29 12:35:26,1.0,1.91,1.0,N,17,36,Credit Card,0.0,11.127584952289464,0.0,1.0,30.03,2.5,0.0
1,2023-06-29 20:00:15,2023-06-29 19:17:47,1.0,9.05,1.0,N,140,152,Credit Card,5.0,13.880001373836507,6.55,1.0,67.21,0.0,1.75
1,2023-06-30 15:41:44,2023-06-30 17:16:52,2.0,0.47,1.0,N,34,224,Credit Card,2.5,2.403975561585081,0.0,1.0,13.92,2.5,0.0
0,2023-06-30 11:04:40,2023-06-30 10:58:49,2.0,4.3,1.0,N,25,225,Cash,2.5,2.898169827536661,0.0,1.0,27.3,2.5,0.0
0,2023-06-28 17:49:42,2023-06-28 17:49:34,1.0,17.8,1.0,N,89,222,Credit Card,9.25,20.79459125960471,0.0,1.0,95.45,0.0,1.75
1,2023-06-29 17:43:29,2023-06-29 18:51:13,2.0,33.95,3.0,N,223,223,Cash,2.5,3.177106004449832,29.0,1.0,194.8,0.0,0.0
0,2023-06-30 16:53:27,2023-06-30 18:41:57,0.0,1.3,1.0,N,239,47,Credit Card,5.0,3.900522451194788,0.0,1.0,17.5,2.5,0.0
0,2023-06-29 07:44:01,2023-06-29 08:57:42,1.0,2.0,99.0,N,196,158,Credit Card,0.0,0.8771305365656279,0.0,1.0,48.0,0.0,0.0
1,2023-06-28 18:14:53,2023-06-28 18:49:25,1.0,1.53,1.0,N,210,203,Credit Card,2.5,5.185018849485881,0.0,1.0,18.2,2.5,0.0
1,2023-06-30 09:17:04,2023-06-30 10:20:24,1.0,2.86,1.0,N,200,256,Credit Card,0.0,7.62468122498369,0.0,1.0,24.36,2.5,0.0
1,2023-06-29 15:36:28,2023-06-29 17:15:42,1.0,1.98,1.0,N,73,59,Credit Card,0.0,5.520747594185039,0.0,1.0,22.54,2.5,0.0
1,2023-06-29 23:59:24,2023-06-29 23:10:40,,2.8,,,216,21,Wallet,0.0,6.076642383512656,0.0,1.0,26.93,,
1,2023-06-30 12:21:50,2023-06-30 12:16:54,2.0,3.29,1.0,N,192,113,Credit Card,0.0,2.684438074070109,0.0,1.0,29.3,2.5,0.0
1,2023-06-30 00:18:26,2023-06-30 00:40:59,1.0,3.9,1.0,N,128,220,Credit Card,1.0,8.994688907268735,0.0,1.0,43.2,2.5,0.0
1,2023-06-29 14:02:44,2023-06-29 13:48:37,1.0,18.19,2.0,N,80,14,Credit Card,0.0,19.170554247945322,6.55,1.0,98.76,2.5,1.75
0,2023-06-28 19:01:17,2023-06-28 20:04:03,2.0,1.6,1.0,N,93,254,Cash,5.0,2.282789737924182,0.0,1.0,17.2,2.5,0.0
0,2023-06-29 07:06:24,2023-06-29 07:42:48,1.0,1.1,1.0,N,77,124,UPI,2.5,3.665944525493793,0.0,1.0,11.9,2.5,0.0
1,2023-06-28 19:03:11,2023-06-28 18:30:17,1.0,1.91,1.0,N,22,97,Credit Card,2.5,8.354876760218758,0.0,1.0,24.84,2.5,0.0
